pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbper,pl_orbeccen,pl_orbsmax,pl_insol,st_teff,st_rad,st_mass,st_met,P_NAME,P_HABITABLE,P_ESI,P_HABZONE_CON,P_HABZONE_OPT,P_TEMP_SURF,P_TYPE
HD 136352 d,2.562,8.82,431.0,107.245,0.0,0.425,5.74,5664.0,1.058,0.87,-0.24,HD 136352 d,0,0.41385496,0,0,445.38035,Superterran
Kepler-1898 b,0.93353523,0.76,1167.0,4.765620232,0.0,0.05063,204.6,5702.0,1.125,0.837,-0.28,Kepler-1898 b,0,0.29906686,0,0,1099.8672,Terran
Teegarden's Star c,1.02,1.05,209.0,11.416,0.04,0.0455,0.35,3034.0,0.12,0.097,-0.11,Teegarden's Star c,1,0.65900478,1,1,221.11916,Terran
Kepler-1426 b,1.56,3.05,797.0,14.2563227,0.0,0.1187,95.22,5831.0,1.02,1.02,0.03,Kepler-1426 b,0,0.2938901,0,0,852.02073,Terran
TOI-1075 b,1.791,9.95,1323.0,0.6047328,0.0,0.01159,509.2,3875.0,0.581,0.604,-0.08,TOI-1075 b,0,0.26758479,0,0,1383.1963,Superterran
Kepler-82 d,1.77,885.098,1253.0,2.382961,0.0,0.034,484.351,5428.0,0.945,0.946,0.2107,Kepler-82 d,0,0.26848884,0,0,1402.6072,Superterran
Kepler-602 b,2.09,5.02,852.0,15.28469497,0.0,0.1224,128.783,6062.0,1.13,1.08,-0.02,Kepler-602 b,0,0.25954754,0,0,992.05286,Superterran
Kepler-1911 b,1.011,1.01,987.0,5.990799904,0.0,0.0636,223.93,5721.0,0.972,0.954,0.0,Kepler-1911 b,0,0.29969545,0,0,1090.679,Terran
TOI-700 e,0.953,0.818,272.9,27.80978,0.059,0.134,1.27,3459.0,0.421,0.415,-0.07,TOI-700 e,1,0.91203186,0,1,305.68811,Terran
Kepler-1005 b,1.5,2.86,1026.0,6.49801525,0.0,0.06717,301.329,5782.0,1.06,1.0,0.02,Kepler-1005 b,0,0.28341224,0,0,1202.8527,Terran
Kepler-181 b,1.27,2.15,1041.0,3.137873,0.0,0.04,255.584,5333.0,0.749,0.81,-0.04,Kepler-181 b,0,0.29326569,0,0,1156.4997,Terran
Kepler-408 b,0.82,5.0,1561.0,2.46502,0.0,0.03592,1503.581,6104.0,1.23,1.08,-0.2,Kepler-408 b,0,0.29038757,0,0,1787.2643,Terran
KOI-1599.01,1.9,4.6,660.0,20.4415,0.014,0.14728,44.8,5833.0,0.972,1.02,0.06,KOI-1599.01,0,0.27947451,0,0,822.90237,Superterran
Kepler-1321 c,2.4,6.35,697.0,2.226491086,0.0,0.0267,115.909,4094.0,0.53,0.54,-0.45,Kepler-1321 c,0,0.24203868,0,0,1071.9386,Superterran
Kepler-295 d,1.36,2.42,533.0,33.884054,0.0,0.192,104.962,5603.0,0.898,0.89,-0.03,Kepler-295 d,0,0.29671667,0,0,943.02869,Terran
Kepler-466 c,1.25,2.1,1206.0,3.709213846,0.0,0.04658,410.4,5927.0,1.05,1.04,-0.01,Kepler-466 c,0,0.29207888,0,0,1283.6572,Terran
Kepler-917 b,1.91,4.31,991.0,2.970414375,0.0,0.0378,228.11,5418.0,0.76,0.8,-0.38,Kepler-917 b,0,0.25945734,0,0,2297.0985,Superterran
HD 207496 b,2.25,6.1,743.0,6.441008,0.231,0.0629,72.9,4819.0,0.769,0.8,0.095,HD 207496 b,0,0.25857206,0,0,852.86593,Superterran
Kepler-286 d,1.33,2.33,919.0,5.914323,0.0,0.061,173.9,5580.0,0.863,0.83,-0.25,Kepler-286 d,0,0.29260837,0,0,1089.5837,Terran
Kepler-1125 b,1.84,4.04,778.0,17.6700642,0.0,0.1348,41.04,5683.0,0.94,0.95,-0.09,Kepler-1125 b,0,0.26814234,0,0,1137.1836,Superterran
Kepler-560 b,1.72,3.61,298.0,18.47764449,0.17,0.0899,2.46,3556.0,0.33,0.34,-0.39,Kepler-560 b,0,0.65293369,0,0,356.45534,Superterran
Kepler-1816 b,1.9679397,4.53,310.0,91.50099945,0.0,0.35647,2.0,5051.0,0.706,0.786,-0.24,Kepler-1816 b,0,0.64727417,0,0,350.87151,Superterran
Kepler-1443 b,0.97,0.871,1602.0,2.41811321,0.0,0.03783,2809.165,6289.0,1.27,1.19,0.0,Kepler-1443 b,0,0.29333726,0,0,2071.341,Terran
Kepler-216 b,2.35,6.12,1069.0,7.693641,0.0,0.079,540.034,6091.0,1.26,1.126,-0.1489,Kepler-216 b,0,0.24011457,0,0,1379.1515,Superterran
